Date,Open,High,Low,Close,Adj Close,Volume
2002-11-01,73800.000000,74700.000000,69700.000000,72300.000000,72300.000000,585000
2002-12-01,73000.000000,73200.000000,69100.000000,72750.000000,72750.000000,599000
2003-01-01,72650.000000,73005.000000,66500.000000,67600.000000,67600.000000,847000
2003-02-01,67600.000000,68490.000000,60600.000000,61700.000000,61700.000000,710000
2003-03-01,63000.000000,69500.000000,62900.000000,63800.000000,63800.000000,818000
2003-04-01,64600.000000,73600.000000,64305.000000,69815.000000,69815.000000,808000
2003-05-01,70100.000000,74200.000000,69700.000000,71000.000000,71000.000000,892000
2003-06-01,71000.000000,75500.000000,70850.000000,72500.000000,72500.000000,866000
2003-07-01,72505.000000,74500.000000,70900.000000,72010.000000,72010.000000,1090000
2003-08-01,72000.000000,76400.000000,71700.000000,75775.000000,75775.000000,958000
2003-09-01,76000.000000,76300.000000,74300.000000,75000.000000,75000.000000,639000
2003-10-01,75200.000000,78100.000000,75150.000000,77810.000000,77810.000000,596000
2003-11-01,78100.000000,84500.000000,78100.000000,83750.000000,83750.000000,529000
2003-12-01,84100.000000,84700.000000,82100.000000,84250.000000,84250.000000,525000
2004-01-01,84250.000000,90500.000000,84000.000000,89490.000000,89490.000000,722000
2004-02-01,89200.000000,95700.000000,89000.000000,94500.000000,94500.000000,494000
2004-03-01,94500.000000,94900.000000,90700.000000,93300.000000,93300.000000,584000
2004-04-01,93200.000000,95650.000000,91800.000000,93390.000000,93390.000000,479000
2004-05-01,93700.000000,93700.000000,85100.000000,89000.000000,89000.000000,666000
2004-06-01,89100.000000,90300.000000,86000.000000,88950.000000,88950.000000,373000
2004-07-01,89100.000000,90750.000000,86550.000000,87250.000000,87250.000000,496000
2004-08-01,86600.000000,87010.000000,83400.000000,87000.000000,87000.000000,496000
2004-09-01,86800.000000,87500.000000,85900.000000,86650.000000,86650.000000,490000
2004-10-01,86500.000000,86600.000000,81150.000000,84250.000000,84250.000000,665000
2004-11-01,84600.000000,86350.000000,81600.000000,83700.000000,83700.000000,784000
2004-12-01,83500.000000,89500.000000,83250.000000,87900.000000,87900.000000,1020000
2005-01-01,87910.000000,90500.000000,85400.000000,89900.000000,89900.000000,703000
2005-02-01,89800.000000,92000.000000,89800.000000,90200.000000,90200.000000,479000
2005-03-01,90500.000000,91050.000000,84500.000000,87000.000000,87000.000000,924000
2005-04-01,86500.000000,88900.000000,82000.000000,84350.000000,84350.000000,1462000
2005-05-01,84900.000000,86210.000000,82400.000000,84100.000000,84100.000000,830000
2005-06-01,84300.000000,84700.000000,82300.000000,83500.000000,83500.000000,592000
2005-07-01,83800.000000,85450.000000,83350.000000,83500.000000,83500.000000,378000
2005-08-01,83825.000000,85200.000000,82400.000000,83150.000000,83150.000000,648000
2005-09-01,83290.000000,84600.000000,78800.000000,82000.000000,82000.000000,1303000
2005-10-01,82500.000000,85900.000000,82100.000000,85900.000000,85900.000000,962000
2005-11-01,85990.000000,90900.000000,85790.000000,89390.000000,89390.000000,941000
2005-12-01,89500.000000,91200.000000,88350.000000,88620.000000,88620.000000,640000
2006-01-01,88250.000000,90300.000000,88250.000000,89490.000000,89490.000000,707000
2006-02-01,89100.000000,89190.000000,86200.000000,86800.000000,86800.000000,492000
2006-03-01,86800.000000,90600.000000,86700.000000,90350.000000,90350.000000,909000
2006-04-01,90500.000000,90650.000000,85400.000000,89000.000000,89000.000000,830000
2006-05-01,89000.000000,93100.000000,88000.000000,92290.000000,92290.000000,1289000
2006-06-01,92340.000000,92600.000000,89500.000000,91659.000000,91659.000000,962000
2006-07-01,91800.000000,92100.000000,89400.000000,91600.000000,91600.000000,776000
2006-08-01,91600.000000,96700.000000,91300.000000,96097.000000,96097.000000,736000
2006-09-01,95900.000000,97100.000000,92875.000000,95800.000000,95800.000000,617000
2006-10-01,95200.000000,105500.000000,95200.000000,105475.000000,105475.000000,953000
2006-11-01,105475.000000,108800.000000,103300.000000,107100.000000,107100.000000,854000
2006-12-01,107300.000000,114500.000000,105900.000000,109990.000000,109990.000000,733000
2007-01-01,110400.000000,110600.000000,106100.000000,110050.000000,110050.000000,769000
2007-02-01,110200.000000,110700.000000,103800.000000,106190.000000,106190.000000,757000
2007-03-01,105400.000000,109700.000000,104800.000000,108990.000000,108990.000000,720000
2007-04-01,108300.000000,110000.000000,107600.000000,109200.000000,109200.000000,561000
2007-05-01,109000.000000,110490.000000,108000.000000,109490.000000,109490.000000,1137000
2007-06-01,109500.000000,109900.000000,107200.000000,109475.000000,109475.000000,816000
2007-07-01,109500.000000,112000.000000,108600.000000,110000.000000,110000.000000,821000
2007-08-01,110000.000000,120800.000000,109400.000000,118390.000000,118390.000000,1085000
2007-09-01,118000.000000,120200.000000,116300.000000,118510.000000,118510.000000,549000
2007-10-01,119000.000000,132500.000000,118400.000000,132500.000000,132500.000000,959000
2007-11-01,131800.000000,140700.000000,131000.000000,140100.000000,140100.000000,1759000
2007-12-01,140900.000000,151650.000000,131600.000000,141600.000000,141600.000000,1375000
2008-01-01,141800.000000,145000.000000,126100.000000,136000.000000,136000.000000,1584400
2008-02-01,136700.000000,145900.000000,134000.000000,140000.000000,140000.000000,1068100
2008-03-01,138500.000000,139000.000000,127100.000000,133400.000000,133400.000000,1420400
2008-04-01,134800.000000,135500.000000,126300.000000,133850.000000,133850.000000,1445200
2008-05-01,133950.000000,135000.000000,121200.000000,134650.000000,134650.000000,1859900
2008-06-01,134800.000000,135450.000000,119450.000000,120750.000000,120750.000000,1201500
2008-07-01,119600.000000,120710.000000,111000.000000,114450.000000,114450.000000,1803100
2008-08-01,115200.000000,120100.000000,112900.000000,116600.000000,116600.000000,1494100
2008-09-01,117500.000000,147000.000000,115500.000000,130600.000000,130600.000000,3105300
2008-10-01,132500.000000,140900.000000,102010.000000,115490.000000,115490.000000,4277400
2008-11-01,115490.000000,119200.000000,74100.000000,104000.000000,104000.000000,4044000
2008-12-01,96000.000000,107500.000000,90000.000000,96600.000000,96600.000000,2478900
2009-01-01,95200.000000,102600.000000,85000.000000,89502.000000,89502.000000,1892300
2009-02-01,86901.000000,91300.000000,73500.000000,78600.000000,78600.000000,2827000
2009-03-01,74300.000000,91900.000000,70050.000000,86700.000000,86700.000000,3450200
2009-04-01,85800.000000,95500.000000,83957.000000,94000.000000,94000.000000,2231200
2009-05-01,93400.000000,95499.000000,87310.000000,91600.000000,91600.000000,1660000
2009-06-01,92700.000000,93010.000000,85155.000000,90000.000000,90000.000000,1567000
2009-07-01,89900.000000,97900.000000,84600.000000,97000.000000,97000.000000,1572900
2009-08-01,97950.000000,108450.000000,96500.000000,100850.000000,100850.000000,1870300
2009-09-01,100350.000000,104875.000000,95270.000000,101000.000000,101000.000000,1767900
2009-10-01,100300.000000,102370.000000,97870.000000,99000.000000,99000.000000,1756900
2009-11-01,99750.000000,105980.000000,98400.000000,100600.000000,100600.000000,2300600
2009-12-01,101300.000000,101300.000000,97950.000000,99200.000000,99200.000000,2326500
2010-01-01,99350.000000,116650.000000,97205.000000,114600.000000,114600.000000,5628000
2010-02-01,116640.000000,120155.000000,107416.000000,119800.000000,119800.000000,11125200
2010-03-01,119850.000000,140711.000000,118700.000000,121800.000000,121800.000000,3674400
2010-04-01,122210.000000,122908.000000,113506.000000,115325.000000,115325.000000,1676900
2010-05-01,116190.000000,118116.000000,102751.000000,105910.000000,105910.000000,1787700
2010-06-01,105389.000000,122300.000000,104502.000000,120000.000000,120000.000000,2379000
2010-07-01,119394.000000,120266.000000,114448.000000,117000.000000,117000.000000,1844300
2010-08-01,118400.000000,121385.000000,113622.000000,118675.000000,118675.000000,1250500
2010-09-01,118900.000000,128730.000000,118446.000000,124500.000000,124500.000000,1639200
2010-10-01,124850.000000,126568.000000,118201.000000,119300.000000,119300.000000,1256400
2010-11-01,119500.000000,125649.000000,118259.000000,120200.000000,120200.000000,1313600
2010-12-01,121122.000000,122070.000000,118789.000000,120450.000000,120450.000000,1157100
2011-01-01,120550.000000,125036.000000,118792.000000,122425.000000,122425.000000,1188200
2011-02-01,123000.000000,131463.000000,123000.000000,131300.000000,131300.000000,952900
2011-03-01,131400.000000,131400.000000,121500.000000,125300.000000,125300.000000,1098100
2011-04-01,126000.000000,126100.000000,119683.000000,124750.000000,124750.000000,1010200
2011-05-01,123100.000000,123830.000000,115860.000000,118775.000000,118775.000000,804100
2011-06-01,118020.000000,118340.000000,109925.000000,116105.000000,116105.000000,1123300
2011-07-01,115230.000000,117250.000000,111246.000000,111500.000000,111500.000000,867700
2011-08-01,113400.000000,113445.000000,100265.000000,109769.000000,109769.000000,1998100
2011-09-01,109374.000000,111555.000000,98952.000000,106800.000000,106800.000000,1536100
2011-10-01,107600.000000,120755.000000,104701.000000,116950.000000,116950.000000,1410000
2011-11-01,114330.000000,118500.000000,110092.000000,118500.000000,118500.000000,1251000
2011-12-01,116900.000000,118373.000000,110741.000000,114755.000000,114755.000000,1013700
2012-01-01,115850.000000,120000.000000,113855.000000,117925.000000,117925.000000,950800
2012-02-01,118251.000000,120627.000000,116850.000000,117934.000000,117934.000000,1171500
2012-03-01,118400.000000,123578.000000,117301.000000,121900.000000,121900.000000,1286300
2012-04-01,121950.000000,123000.000000,117551.000000,120800.000000,120800.000000,1015100
2012-05-01,120800.000000,123868.000000,118252.000000,118850.000000,118850.000000,1307900
2012-06-01,118000.000000,124950.000000,118000.000000,124945.000000,124945.000000,1172000
2012-07-01,124895.000000,128109.000000,123227.000000,127445.000000,127445.000000,1075700
2012-08-01,127500.000000,129040.000000,123418.000000,126560.000000,126560.000000,906000
2012-09-01,126340.000000,134892.000000,126077.000000,132700.000000,132700.000000,1064800
2012-10-01,132630.000000,136345.000000,129264.000000,129505.000000,129505.000000,1094800
2012-11-01,130053.000000,132956.000000,125950.000000,131916.000000,131916.000000,1271100
2012-12-01,132373.000000,136208.000000,130432.000000,134060.000000,134060.000000,2312400
2013-01-01,136850.000000,147475.000000,136850.000000,145875.000000,145875.000000,1231400
2013-02-01,146759.000000,153739.000000,145010.000000,152600.000000,152600.000000,924200
2013-03-01,152364.000000,156634.000000,150800.000000,156280.000000,156280.000000,1090200
2013-04-01,155800.000000,161969.000000,154145.000000,159000.000000,159000.000000,976100
2013-05-01,159360.000000,172450.000000,159100.000000,171300.000000,171300.000000,1184700
2013-06-01,171900.000000,173810.000000,164548.000000,168600.000000,168600.000000,1009900
2013-07-01,169200.000000,178900.000000,167520.000000,173900.000000,173900.000000,641100
2013-08-01,175600.000000,178547.000000,166367.000000,167050.000000,167050.000000,8400
2013-09-01,168333.000000,176783.000000,166168.000000,170410.000000,170410.000000,9100
2013-10-01,170438.000000,176465.000000,166510.000000,172994.000000,172994.000000,10800
2013-11-01,173220.000000,175908.000000,170180.000000,174750.000000,174750.000000,8300
2013-12-01,174500.000000,177950.000000,170375.000000,177900.000000,177900.000000,9400
2014-01-01,177500.000000,177792.000000,167632.000000,169511.000000,169511.000000,11000
2014-02-01,169599.000000,173833.000000,163038.000000,173708.000000,173708.000000,7500
2014-03-01,174100.000000,188852.000000,172759.000000,187350.000000,187350.000000,8800
2014-04-01,187500.000000,193789.000000,181785.000000,193275.000000,193275.000000,7400
2014-05-01,193295.000000,194670.000000,186250.000000,192000.000000,192000.000000,4600
2014-06-01,192300.000000,192908.000000,188220.000000,189900.000000,189900.000000,6200
2014-07-01,190100.000000,193860.000000,188124.000000,188124.000000,188124.000000,4200
2014-08-01,187152.000000,205880.000000,185005.000000,205880.000000,205880.000000,8000
2014-09-01,206999.000000,213612.000000,205192.000000,206900.000000,206900.000000,6100
2014-10-01,207310.000000,212300.000000,198000.000000,210000.000000,210000.000000,10900
2014-11-01,210835.000000,224070.000000,209000.000000,223065.000000,223065.000000,4300
2014-12-01,223100.000000,229374.000000,215500.000000,226000.000000,226000.000000,9900
2015-01-01,227230.000000,227500.000000,215865.000000,215865.000000,215865.000000,7000
2015-02-01,216001.000000,227450.000000,215151.000000,221180.000000,221180.000000,4500
2015-03-01,221900.000000,221900.000000,215464.000000,217500.000000,217500.000000,7800
2015-04-01,217900.000000,217980.000000,211960.000000,213400.000000,213400.000000,5900
2015-05-01,214666.000000,223011.000000,213650.000000,214800.000000,214800.000000,4300
2015-06-01,215260.000000,216420.000000,204800.000000,204850.000000,204850.000000,4600
2015-07-01,206740.000000,217100.000000,204340.000000,214000.000000,214000.000000,5300
2015-08-01,214400.000000,216000.000000,190007.000000,202531.000000,202531.000000,7100
2015-09-01,199995.000000,202700.000000,192000.000000,195240.000000,195240.000000,7000
2015-10-01,196300.000000,207776.000000,192200.000000,204596.000000,204596.000000,5100
2015-11-01,205200.000000,207780.000000,197280.000000,201360.000000,201360.000000,4700
2015-12-01,201850.000000,205015.000000,194500.000000,197800.000000,197800.000000,8000
2016-01-01,195000.000000,197880.000000,186900.000000,194360.000000,194360.000000,8100
2016-02-01,194000.000000,203192.000000,186921.000000,202555.000000,202555.000000,7800
2016-03-01,203899.000000,215130.000000,202600.000000,213450.000000,213450.000000,8900
2016-04-01,211850.000000,221985.000000,209641.000000,219000.000000,219000.000000,4500
2016-05-01,219180.000000,220640.000000,209600.000000,211695.000000,211695.000000,5100
2016-06-01,211100.000000,218850.000000,205074.000000,216975.000000,216975.000000,6700
2016-07-01,216421.000000,220360.000000,211500.000000,216000.000000,216000.000000,4300
2016-08-01,216540.000000,226145.000000,214400.000000,225760.000000,225760.000000,7600
